,"T=7,Z_cluster_num=3","T=7,Z_cluster_num=5","T=7,Z_cluster_num=9","T=14,Z_cluster_num=3","T=14,Z_cluster_num=5","T=14,Z_cluster_num=9","T=21,Z_cluster_num=3","T=21,Z_cluster_num=5","T=21,Z_cluster_num=9"
Sj1_VFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj1_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj1_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj1_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_VFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj2_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_VFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj3_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_VFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj4_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_VFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_RDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sj5_MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
