city_id,Level_0,Level_1,Level_2,Level_3,Level_4,,server_id,City,Workday_left
city 1,0,0,1,1,1,,server 1,20,2
city 2,1,0,0,1,0,,server 2,6,5
city 3,1,0,1,0,1,,server 3,3,1
city 4,0,1,0,0,1,,server 4,13,1
city 5,1,1,0,1,1,,server 5,11,4
city 6,0,0,1,1,0,,server 6,12,1
city 7,1,1,0,1,1,,server 7,16,5
city 8,0,1,0,0,0,,server 8,16,0
city 9,1,1,0,0,1,,server 9,23,1
city 10,1,0,1,1,0,,server 10,2,4
city 11,0,1,1,1,1,,server 11,18,5
city 12,0,0,0,1,0,,server 12,6,5
city 13,1,1,1,1,0,,server 13,8,1
city 14,0,1,1,1,0,,server 14,14,1
city 15,1,0,0,1,0,,server 15,4,5
city 16,0,1,1,1,0,,server 16,21,4
city 17,0,0,0,1,1,,server 17,19,3
city 18,0,1,1,1,1,,server 18,17,3
city 19,1,0,0,1,0,,server 19,16,3
city 20,1,1,0,1,1,,server 20,21,3
city 21,0,0,0,0,0,,server 21,9,0
city 22,1,0,1,1,0,,server 22,0,5
city 23,0,0,0,1,1,,server 23,23,5
city 24,1,0,1,1,0,,server 24,17,2
city 25,1,1,0,1,1,,server 25,13,1
city 26,1,1,0,0,1,,server 26,11,4
,,,,,,,server 27,2,3
,,,,,,,server 28,11,3
,,,,,,,server 29,10,4
,,,,,,,server 30,5,0
,,,,,,,server 31,10,2
,,,,,,,server 32,22,1
,,,,,,,server 33,1,1
,,,,,,,server 34,1,5
,,,,,,,server 35,3,4
,,,,,,,server 36,2,0
,,,,,,,server 37,8,4
,,,,,,,server 38,10,4
,,,,,,,server 39,1,3
,,,,,,,server 40,19,5
