Level_0,Level_1,Level_2,Level_3,Level_4,,City,Workday_left
1.0,1.0,0.0,0.0,0.0,,20,2
0.0,0.0,1.0,2.0,0.0,,6,5
0.0,0.0,1.0,0.0,0.0,,3,1
0.0,1.0,0.0,1.0,0.0,,13,1
0.0,0.0,1.0,1.0,0.0,,11,4
0.0,0.0,1.0,1.0,0.0,,12,1
0.0,1.0,0.0,3.0,1.0,,16,5
2.0,0.0,1.0,2.0,1.0,,16,0
2.0,0.0,0.0,1.0,1.0,,23,1
1.0,0.0,0.0,1.0,0.0,,2,4
0.0,0.0,2.0,2.0,0.0,,18,5
0.0,0.0,0.0,0.0,0.0,,6,5
3.0,1.0,1.0,2.0,0.0,,8,1
0.0,0.0,0.0,0.0,0.0,,14,1
0.0,0.0,0.0,0.0,0.0,,4,5
1.0,0.0,0.0,0.0,1.0,,21,4
0.0,0.0,2.0,0.0,0.0,,19,3
1.0,2.0,0.0,0.0,0.0,,17,3
0.0,0.0,1.0,0.0,4.0,,16,3
0.0,1.0,0.0,0.0,0.0,,21,3
0.0,1.0,0.0,0.0,1.0,,9,0
0.0,3.0,1.0,0.0,0.0,,0,5
0.0,0.0,1.0,0.0,0.0,,23,5
1.0,1.0,0.0,2.0,1.0,,17,2
0.0,3.0,1.0,0.0,0.0,,13,1
1.0,1.0,2.0,0.0,0.0,,11,4
,,,,,,2,3
,,,,,,11,3
,,,,,,10,4
,,,,,,5,0
,,,,,,10,2
,,,,,,22,1
,,,,,,1,1
,,,,,,1,5
,,,,,,3,4
,,,,,,2,0
,,,,,,8,4
,,,,,,10,4
,,,,,,1,3
,,,,,,19,5
